Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LotFrontage_nan,MasVnrArea_nan,GarageYrBlt_nan
255,20,3,70.0,8400,1,2,0,1,1,0,0,10,4,4,4,5,5,6,1957,1957,1,2,4,5,1,0.0,1,2,2,2,3,1,1,922,5,0,392,1314,5,2,1,5,1314,0,0,1314,1,0,1,0,3,1,1,5,6,0,1,5,1957.0,2,1,294,3,5,2,250,0,0,0,0,0,0,4,3,0,6,2010,4,4,145000,0,0,0
256,60,3,66.0,8738,1,2,1,1,1,0,0,14,4,4,4,6,7,5,1999,1999,1,2,11,12,2,302.0,2,3,5,3,3,1,5,0,5,0,975,975,5,4,1,5,1005,1286,0,2291,0,0,2,1,4,1,2,8,6,1,3,6,1999.0,3,2,429,3,5,2,192,0,0,0,0,0,0,4,3,0,2,2006,4,4,230000,0,0,0
257,60,4,64.0,8791,1,2,1,1,1,0,0,19,4,4,4,6,6,5,2003,2003,1,2,11,12,1,0.0,2,3,5,3,3,1,1,503,5,0,361,864,5,4,1,5,864,864,0,1728,0,0,2,1,3,1,2,7,6,0,1,5,2003.0,2,2,673,3,5,2,216,56,0,0,0,0,0,4,3,0,5,2008,4,4,207500,0,0,0
258,20,3,68.0,8814,1,2,0,1,1,0,0,16,4,4,4,5,7,5,2006,2006,1,2,11,12,4,180.0,2,3,5,3,3,1,6,1334,5,0,270,1604,5,4,1,5,1604,0,0,1604,1,0,2,1,3,1,2,8,6,1,4,5,2006.0,2,2,660,3,5,2,123,110,0,0,0,0,0,4,3,0,3,2009,4,1,220000,0,0,0
259,60,3,80.0,12435,1,2,0,1,1,0,0,16,4,4,4,6,7,5,2001,2001,1,2,11,12,2,172.0,2,3,5,3,3,1,6,361,5,0,602,963,5,4,1,5,963,829,0,1792,0,0,2,1,3,1,2,7,6,1,3,5,2001.0,2,2,564,3,5,2,0,96,0,245,0,0,0,4,3,0,5,2008,4,4,231500,0,0,0
260,20,1,70.0,12702,1,2,0,1,1,0,0,5,4,4,4,5,5,5,1956,1956,1,2,10,11,1,0.0,1,3,5,0,1,0,0,0,0,0,0,0,5,3,1,3,882,0,0,882,0,0,1,0,2,1,1,4,6,0,1,2,1956.0,1,1,308,3,5,2,0,45,0,0,0,0,0,4,3,0,12,2008,4,4,97000,0,0,0
261,80,3,120.0,19296,1,2,0,1,1,2,0,10,0,4,4,4,6,5,1962,1962,1,2,5,4,2,399.0,1,3,2,2,3,4,1,672,6,690,0,1362,5,2,1,5,1382,0,0,1382,1,0,1,0,3,1,1,6,6,1,3,5,1991.0,1,2,884,3,5,2,0,0,252,0,0,0,0,1,3,0,5,2009,4,4,176000,0,0,0
262,60,3,69.0,9588,1,2,1,1,1,0,0,16,4,4,4,6,8,5,2007,2007,1,2,12,13,4,270.0,2,3,5,4,3,1,5,0,5,0,1482,1482,5,4,1,5,1482,1092,0,2574,0,0,2,1,3,1,3,10,6,1,4,6,2007.0,3,3,868,3,5,2,0,148,0,0,0,0,0,4,3,0,11,2007,8,5,276000,0,0,0
263,80,3,88.0,8471,1,2,1,1,1,2,0,6,4,4,4,4,6,7,1977,1995,1,2,8,10,2,46.0,1,3,2,3,4,3,4,506,5,0,0,506,5,2,1,5,1212,0,0,1212,1,0,1,0,3,1,1,6,6,1,3,5,1978.0,1,2,492,3,5,2,292,12,0,0,0,0,0,1,3,0,7,2006,4,4,151000,0,0,0
264,50,1,50.0,5500,1,2,0,1,1,2,0,5,4,4,4,2,5,7,1929,2001,1,2,5,4,1,0.0,1,3,1,2,3,1,3,234,6,692,0,926,5,2,1,5,926,0,390,1316,1,0,1,0,3,1,1,6,6,0,1,2,1974.0,1,2,484,3,5,2,0,0,0,0,0,0,0,4,3,0,4,2010,4,4,130000,0,0,0
265,30,1,30.0,5232,1,0,2,0,1,0,0,5,0,4,4,5,5,5,1925,2004,1,2,5,4,1,0.0,1,3,1,1,3,1,5,0,5,0,680,680,5,3,0,1,764,0,0,764,0,0,1,0,2,1,1,4,6,0,1,2,1965.0,1,2,504,3,5,0,0,0,0,0,0,0,0,4,3,0,6,2008,4,4,73000,0,0,0
266,20,3,78.0,12090,1,2,1,1,1,0,0,13,4,4,4,5,6,6,1981,1981,1,2,4,5,2,210.0,1,2,2,3,3,1,6,588,2,228,606,1422,5,2,1,5,1422,0,0,1422,0,0,2,0,3,1,2,7,6,1,3,5,1981.0,3,2,576,3,5,2,276,0,0,0,0,0,0,3,3,0,6,2008,4,4,175500,0,0,0
267,60,3,70.0,11207,1,2,1,3,1,1,0,14,4,4,4,6,6,5,1997,1997,1,2,11,12,1,0.0,1,3,5,3,3,3,6,714,5,0,88,802,5,3,1,5,802,709,0,1511,1,0,2,1,3,1,1,8,6,1,3,5,1997.0,3,2,413,3,5,2,95,75,0,0,0,0,0,4,3,0,6,2006,4,4,185000,0,0,0
268,75,3,60.0,8400,1,2,0,0,1,0,1,8,4,4,4,7,5,8,1939,1997,1,2,5,4,1,0.0,1,3,5,2,3,1,3,378,5,0,342,720,5,4,1,5,1052,720,420,2192,0,0,2,1,4,1,2,8,6,1,4,2,1939.0,1,1,240,3,5,2,262,24,0,0,0,0,0,4,3,0,7,2008,4,4,179500,0,0,0
269,30,1,71.0,6900,1,2,0,1,1,0,0,1,4,4,4,5,5,6,1940,1955,1,2,11,12,1,0.0,1,3,2,2,3,1,4,403,3,125,212,740,5,4,1,5,778,0,0,778,0,0,1,0,2,1,1,4,6,1,4,2,1966.0,3,1,924,5,3,2,0,25,0,0,0,0,0,4,3,0,2,2008,4,4,120500,0,0,0
270,20,3,69.0,7917,1,2,1,1,1,2,0,4,4,4,4,5,6,7,1976,1976,4,2,8,9,2,174.0,1,2,2,2,4,1,2,751,5,0,392,1143,5,2,1,5,1113,0,0,1113,1,0,1,1,3,1,1,6,6,1,2,5,1987.0,2,1,504,3,4,2,370,30,0,0,0,0,0,3,3,0,5,2007,4,4,148000,1,0,0
271,60,4,84.0,10728,1,2,0,1,1,0,0,19,4,4,4,6,8,5,2006,2006,1,2,11,12,1,0.0,2,3,5,3,3,2,5,0,5,0,1095,1095,5,3,1,5,1095,844,0,1939,0,0,2,1,3,1,2,8,6,1,4,5,2006.0,2,3,1053,3,5,2,192,51,0,0,0,0,0,4,3,0,8,2006,8,5,266000,0,0,0
272,20,3,73.0,39104,1,2,1,2,1,4,2,18,4,4,4,5,7,7,1954,2005,3,6,9,10,1,0.0,1,3,2,3,3,4,3,226,4,1063,96,1385,5,4,1,5,1363,0,0,1363,1,0,1,0,2,1,1,5,5,2,3,5,1954.0,1,2,439,3,5,2,81,0,0,0,0,0,0,4,3,0,4,2008,4,4,241500,0,0,0
273,60,3,92.0,11764,1,2,1,1,1,4,0,24,4,4,4,6,8,7,1999,2007,1,2,11,12,2,348.0,2,3,5,3,3,1,6,524,5,0,628,1152,5,4,1,5,1164,1106,0,2270,0,0,2,1,4,1,2,9,6,1,4,5,1999.0,3,3,671,3,5,2,132,57,0,0,0,0,0,4,3,0,4,2010,4,4,290000,0,0,0
274,20,3,80.0,9600,1,2,0,1,1,0,0,10,2,4,4,5,6,6,1958,1988,4,2,5,4,0,183.0,1,3,2,2,3,1,1,620,2,620,0,1240,5,3,1,5,1632,0,0,1632,1,0,2,0,3,1,1,6,3,1,4,5,1958.0,2,1,338,3,5,2,289,0,0,0,0,0,0,2,3,0,4,2009,4,4,139000,0,0,0
275,20,3,76.0,8314,1,2,0,1,1,2,0,11,4,4,4,5,5,7,1982,1982,1,2,8,14,1,0.0,1,3,2,2,3,4,4,546,5,0,270,816,5,2,1,5,816,0,0,816,0,0,1,0,2,1,1,5,6,0,1,5,1982.0,1,1,264,3,5,2,168,0,0,0,0,0,0,4,3,0,6,2007,4,4,124500,0,0,0
276,50,3,55.0,7264,1,2,0,1,1,0,0,3,4,4,4,2,7,7,1925,2007,1,2,5,4,1,0.0,2,2,1,2,3,1,5,0,5,0,952,952,4,3,0,5,952,596,0,1548,0,0,2,1,3,1,3,5,6,0,1,2,1978.0,1,2,672,3,5,2,74,0,0,0,144,0,0,4,3,0,10,2009,4,4,205000,0,0,0
277,20,3,129.0,9196,1,2,1,1,1,0,0,11,4,4,4,5,7,5,2003,2003,1,2,11,12,1,0.0,2,3,5,4,3,1,5,0,5,0,1560,1560,5,4,1,5,1560,0,0,1560,0,0,2,0,3,1,2,7,6,0,1,5,2003.0,3,2,573,3,5,2,100,150,0,0,0,0,0,4,3,0,4,2010,4,4,201000,0,0,0
278,20,3,140.0,19138,1,2,0,1,1,2,0,14,4,4,4,5,4,5,1951,1951,1,2,11,12,1,0.0,1,3,2,2,3,1,3,120,5,0,744,864,5,4,1,5,864,0,0,864,0,0,1,0,2,1,1,4,6,0,1,2,1951.0,1,2,400,3,5,2,0,0,0,0,0,0,0,4,3,0,6,2010,4,4,141000,0,0,0
279,20,3,107.0,14450,1,2,0,1,1,0,0,23,4,4,4,5,9,5,2006,2007,1,2,12,13,2,315.0,3,3,5,4,3,4,5,0,5,0,2121,2121,5,4,1,5,2121,0,0,2121,0,0,2,1,3,1,3,8,6,1,5,5,2007.0,3,3,732,3,5,2,124,98,0,0,142,0,0,4,3,0,5,2007,8,5,415298,0,0,0
280,60,3,83.0,10005,1,2,0,1,1,0,0,18,4,4,4,6,7,5,1977,1977,4,2,9,10,2,299.0,1,3,2,3,3,1,2,392,5,0,768,1160,5,4,1,5,1156,866,0,2022,0,0,2,1,4,1,1,8,6,1,3,5,1977.0,3,2,505,3,5,2,288,117,0,0,0,0,0,4,3,0,3,2008,4,4,192000,0,0,0
281,60,3,82.0,11287,1,2,0,1,1,0,0,12,4,4,4,6,7,6,1989,1989,1,2,9,10,2,340.0,2,3,2,3,3,3,6,421,5,0,386,807,5,3,1,5,1175,807,0,1982,0,0,2,1,3,1,2,7,6,1,3,5,1989.0,3,2,575,3,5,2,0,84,0,196,0,0,0,4,3,0,1,2007,4,4,228500,0,0,0
282,20,4,60.0,7200,1,1,0,1,1,0,0,19,4,4,4,5,6,5,2006,2006,1,2,11,12,4,68.0,2,3,5,3,3,1,6,905,5,0,357,1262,5,3,1,5,1262,0,0,1262,0,0,2,0,2,1,2,5,6,0,1,5,2006.0,3,2,572,3,5,2,0,120,0,0,0,0,0,4,3,0,5,2006,8,5,185000,0,0,0
283,120,3,34.0,5063,1,2,0,1,1,0,0,23,4,4,2,5,7,5,2007,2008,1,2,11,12,4,166.0,2,3,5,3,3,1,6,904,5,0,410,1314,5,4,1,5,1314,0,0,1314,1,0,2,0,2,1,2,6,6,1,4,5,2008.0,2,2,626,3,5,2,172,62,0,0,0,0,0,4,3,0,4,2009,2,4,207500,0,0,0
284,20,3,74.0,9612,1,2,0,1,1,0,0,19,2,4,4,5,8,5,2008,2009,1,2,11,12,4,72.0,2,3,5,3,3,1,5,0,5,0,1468,1468,5,4,1,5,1468,0,0,1468,0,0,2,0,3,1,2,6,6,1,4,5,2008.0,3,3,898,3,5,2,210,150,0,0,0,0,0,4,3,0,12,2009,8,5,244600,0,0,0
285,120,3,50.0,8012,1,2,0,1,1,0,0,12,4,4,3,5,6,5,1992,1992,1,2,9,14,1,0.0,2,3,5,3,3,1,6,430,5,0,1145,1575,5,3,1,5,1575,0,0,1575,1,0,2,0,2,1,2,5,6,0,1,5,1992.0,2,2,529,3,5,2,0,0,52,0,0,0,0,4,3,0,7,2007,4,4,179200,0,0,0
286,160,4,35.0,4251,1,1,1,1,1,0,0,19,4,4,3,6,7,5,2006,2007,1,2,4,5,1,0.0,2,3,5,3,3,1,5,0,5,0,625,625,5,4,1,5,625,625,0,1250,0,0,2,1,2,1,2,5,6,0,1,2,2006.0,2,2,528,3,5,2,0,54,0,0,0,0,0,4,3,0,6,2007,8,5,164700,0,0,0
287,50,3,77.0,9786,1,2,1,0,1,0,0,10,4,4,4,2,6,7,1962,1981,1,2,5,4,1,0.0,1,3,2,2,3,1,1,600,5,0,312,912,5,2,1,5,1085,649,0,1734,0,0,1,1,3,1,2,7,6,1,4,5,1962.0,2,2,440,3,5,2,0,0,0,0,128,0,0,3,3,0,6,2006,4,4,159000,0,0,0
288,20,3,69.0,8125,1,2,1,1,1,2,0,10,4,4,4,5,4,4,1971,1971,1,2,8,9,1,0.0,1,3,2,2,3,1,2,614,5,0,244,858,5,2,1,5,858,0,0,858,0,0,1,0,3,1,1,5,6,0,1,0,1980.0,0,0,0,1,0,2,0,0,0,0,0,0,0,4,3,0,6,2006,4,4,88000,1,0,1
289,20,3,69.0,9819,1,2,1,1,1,0,0,6,4,4,4,5,5,5,1967,1967,1,2,4,5,2,31.0,1,2,2,2,3,1,2,450,5,0,432,882,5,2,1,5,900,0,0,900,0,0,1,0,3,1,1,5,6,0,1,2,1970.0,1,1,280,3,5,2,0,0,0,0,0,0,0,2,3,0,2,2010,4,4,122000,1,0,0
290,70,3,60.0,8730,1,2,0,1,1,0,0,3,3,4,4,6,6,7,1915,2003,1,2,5,4,1,0.0,1,3,1,2,3,1,5,0,5,0,698,698,5,4,1,3,698,698,0,1396,0,0,1,0,3,1,1,7,6,0,1,2,2003.0,1,1,384,3,5,2,0,0,0,0,259,0,0,4,3,0,7,2007,4,4,153575,0,0,0
291,60,3,120.0,15611,1,2,0,1,1,0,0,16,4,4,4,6,8,5,2006,2006,1,2,11,12,1,0.0,2,3,5,3,3,3,5,0,5,0,1079,1079,5,4,1,5,1079,840,0,1919,0,0,2,1,3,1,2,8,6,1,4,5,2006.0,2,2,685,4,5,2,0,51,0,0,0,0,0,4,3,0,7,2006,8,5,233230,0,0,0
292,190,3,55.0,5687,1,0,0,0,1,0,0,8,4,4,0,6,5,6,1912,2000,1,2,11,12,1,0.0,1,1,5,2,2,1,1,210,5,0,570,780,5,4,0,5,936,780,0,1716,1,0,2,0,6,1,0,9,6,0,1,0,1980.0,0,0,0,1,0,0,0,184,0,0,0,0,0,4,3,0,3,2008,4,4,135900,0,0,1
293,50,3,60.0,11409,1,2,0,1,1,0,0,4,4,4,4,2,5,4,1949,2008,1,2,5,4,1,0.0,1,3,2,2,3,1,3,292,5,0,476,768,5,3,1,5,1148,568,0,1716,0,0,1,1,3,1,1,8,2,1,4,5,1949.0,1,1,281,3,5,2,0,0,0,0,160,0,0,4,3,0,1,2009,4,4,131000,0,0,0
294,60,3,69.0,16659,1,2,1,1,1,2,0,13,8,4,4,6,7,7,1977,1994,1,2,9,10,2,34.0,1,3,2,2,3,1,4,795,5,0,0,795,5,1,1,5,1468,795,0,2263,1,0,2,1,3,1,2,9,6,1,3,5,1977.0,3,2,539,3,5,2,0,250,0,0,0,0,0,4,3,0,3,2006,4,4,235000,1,0,0
295,20,3,80.0,9600,1,2,0,1,1,0,0,10,4,4,4,5,6,5,1953,1953,4,2,8,9,4,238.0,1,3,2,2,3,1,6,1285,5,0,131,1416,5,2,1,5,1644,0,0,1644,1,0,1,0,3,1,1,7,6,2,4,5,1953.0,3,2,418,3,5,2,110,0,0,0,0,0,0,4,3,0,10,2009,4,4,167000,0,0,0
296,80,3,37.0,7937,1,2,1,1,1,4,0,11,4,4,4,4,6,6,1984,1984,1,2,8,9,1,0.0,1,3,2,2,3,3,6,819,5,0,184,1003,5,2,1,5,1003,0,0,1003,1,0,1,0,3,1,1,6,6,0,1,2,1984.0,1,2,588,3,5,2,120,0,0,0,0,0,0,3,3,0,3,2006,4,4,142500,0,0,0
297,50,1,75.0,13710,1,2,0,1,1,0,0,1,4,4,4,2,5,5,1950,1950,1,2,5,4,1,0.0,1,3,2,2,3,1,2,420,5,0,490,910,5,2,1,3,910,648,0,1558,0,0,1,1,4,1,1,6,6,0,1,5,1950.0,1,1,282,3,5,2,289,0,0,0,0,0,0,2,3,0,6,2007,4,4,152000,0,0,0
298,60,4,66.0,7399,1,1,1,1,1,0,0,19,4,4,4,6,7,5,1997,1998,4,2,11,12,2,1600.0,2,3,5,3,3,1,2,649,5,0,326,975,5,4,1,5,975,975,0,1950,0,0,2,1,3,1,2,7,6,1,3,2,1997.0,2,2,576,3,5,2,0,10,0,0,198,0,0,4,3,0,6,2007,4,4,239000,0,0,0
299,60,3,90.0,11700,1,2,0,1,1,0,0,13,4,4,4,6,6,6,1968,1968,2,2,8,3,2,365.0,2,3,2,2,3,1,4,384,3,175,143,702,5,3,1,5,1041,702,0,1743,0,1,1,2,3,1,1,7,6,1,4,5,1968.0,1,2,539,3,5,2,224,0,0,0,0,0,0,4,3,0,6,2007,4,4,175000,0,0,0
300,20,3,80.0,14000,1,2,0,1,1,0,0,17,4,4,4,5,6,8,1950,2004,1,2,8,9,1,0.0,1,2,2,2,3,1,5,0,5,0,1092,1092,5,4,1,5,1152,0,0,1152,0,1,1,0,3,1,2,6,6,1,4,5,1950.0,1,1,300,3,5,2,0,36,0,0,0,0,0,3,3,0,8,2009,4,2,158500,0,0,0
301,190,3,90.0,15750,1,2,0,1,1,2,0,17,4,4,0,5,5,5,1953,1953,4,2,4,5,2,56.0,1,3,2,2,3,2,2,841,5,0,324,1165,5,2,1,5,1336,0,0,1336,1,0,1,0,2,1,1,5,6,2,4,5,1953.0,1,1,375,3,5,2,0,0,0,0,0,0,0,4,3,0,6,2006,4,4,157000,0,0,0
302,60,3,66.0,16226,1,2,2,1,1,0,0,16,4,4,4,6,8,5,1998,1999,1,2,11,12,1,0.0,2,3,5,3,3,1,6,281,5,0,747,1028,5,4,1,5,1210,1242,0,2452,0,0,2,1,4,1,2,9,6,1,3,6,1998.0,3,2,683,3,5,2,208,50,0,0,0,0,0,4,3,0,5,2007,4,4,267000,0,0,0
303,20,3,118.0,13704,1,2,1,1,1,2,0,16,4,4,4,5,7,5,2001,2002,1,2,11,12,2,150.0,2,3,5,3,3,1,5,0,5,0,1541,1541,5,4,1,5,1541,0,0,1541,0,0,2,0,3,1,2,6,6,1,3,5,2001.0,2,3,843,3,5,2,468,81,0,0,0,0,0,4,3,0,1,2006,4,4,205000,0,0,0
304,20,3,70.0,9800,1,2,0,1,1,2,0,16,4,4,4,5,5,7,1972,1972,1,2,11,12,1,0.0,1,3,5,2,3,1,4,894,5,0,0,894,5,2,1,5,894,0,0,894,1,0,1,0,3,1,1,5,6,0,1,5,1975.0,1,2,552,3,5,2,256,0,0,0,0,0,0,1,3,0,7,2006,4,1,149900,0,0,0
305,75,1,87.0,18386,1,2,0,1,1,0,0,5,4,4,4,7,7,9,1880,2002,1,2,12,13,1,0.0,1,3,1,2,3,1,5,0,5,0,1470,1470,5,4,1,5,1675,1818,0,3493,0,0,3,0,3,1,2,10,6,1,5,5,2003.0,1,3,870,3,5,2,302,0,0,0,0,0,0,4,3,0,5,2008,4,4,295000,0,0,0
306,20,3,80.0,10386,1,2,0,1,1,0,0,16,4,4,4,5,8,5,2004,2005,1,2,12,13,4,246.0,2,3,5,3,3,1,6,1464,5,0,536,2000,5,4,1,5,2000,0,0,2000,1,0,2,0,3,1,2,8,6,0,1,5,2004.0,3,3,888,3,5,2,168,0,0,0,0,0,0,4,3,0,7,2007,4,4,305900,0,0,0
307,60,3,116.0,13474,1,2,0,1,1,0,0,12,2,4,4,6,7,5,1990,1991,1,2,8,10,2,246.0,2,3,2,3,3,1,4,700,5,0,0,700,5,3,1,5,1122,1121,0,2243,1,0,2,1,4,1,2,8,6,1,3,5,1990.0,2,3,746,3,5,2,127,44,224,0,0,0,0,4,3,0,6,2007,4,4,225000,0,0,0
308,50,1,69.0,7920,1,0,1,1,1,0,0,1,0,4,4,2,6,7,1920,1950,1,2,4,5,1,0.0,1,1,2,2,3,1,5,0,5,0,319,319,5,2,1,3,1035,371,0,1406,0,0,1,0,3,1,0,6,6,0,1,0,1980.0,0,0,0,1,0,0,0,144,0,0,0,0,0,2,3,0,3,2008,4,4,89500,1,0,1
309,30,3,69.0,12342,1,2,1,1,1,0,0,4,4,4,4,5,4,5,1940,1950,1,2,11,12,1,0.0,1,3,2,2,3,1,2,262,5,0,599,861,5,4,1,5,861,0,0,861,0,0,1,0,1,1,1,4,6,0,1,2,1961.0,1,2,539,3,5,2,158,0,0,0,0,0,0,4,3,0,3,2009,4,4,82500,1,0,0
310,20,3,90.0,12378,1,2,1,1,1,0,0,23,4,4,4,5,9,5,2003,2004,1,2,11,12,1,0.0,2,3,5,4,3,4,6,1274,5,0,622,1896,5,4,1,5,1944,0,0,1944,1,0,2,0,3,1,3,8,6,3,5,5,2003.0,3,3,708,3,5,2,208,175,0,0,0,0,0,4,3,0,11,2006,4,4,360000,0,0,0
311,60,3,69.0,7685,1,2,1,1,1,0,0,14,4,4,4,6,6,5,1993,1994,1,2,8,9,2,112.0,1,3,5,3,3,1,4,518,5,0,179,697,5,3,1,5,697,804,0,1501,0,0,2,1,3,1,2,6,6,1,3,5,1993.0,3,2,420,3,5,2,190,63,0,0,0,0,0,4,3,0,5,2006,4,4,165600,1,0,0
312,20,3,50.0,8000,1,2,0,1,1,0,0,10,4,4,4,5,6,6,1948,2002,1,2,11,12,1,0.0,1,2,2,2,3,1,4,680,5,0,292,972,5,4,1,5,972,0,0,972,1,0,1,0,2,1,1,5,6,1,4,2,1948.0,1,1,240,3,5,2,0,0,0,0,0,0,0,4,3,0,5,2009,4,4,132000,0,0,0
313,190,1,65.0,7800,1,2,0,1,1,0,0,5,0,4,0,2,5,7,1939,1950,1,2,4,5,1,0.0,1,3,2,3,3,2,1,507,5,0,286,793,5,2,1,5,793,325,0,1118,1,0,1,0,3,1,1,5,6,1,4,2,1939.0,1,2,410,3,5,2,0,0,0,0,271,0,0,2,3,0,5,2006,4,4,119900,0,0,0
314,20,3,150.0,215245,1,2,2,2,1,0,2,21,4,4,4,5,7,5,1965,1965,4,2,10,11,1,0.0,1,3,2,3,3,4,4,1236,3,820,80,2136,4,2,1,5,2036,0,0,2036,2,0,2,0,3,1,1,8,6,2,4,5,1965.0,2,2,513,3,5,2,0,0,0,0,0,0,0,4,3,0,6,2009,4,4,375000,0,0,0
315,70,1,60.0,9600,1,0,0,1,1,0,0,5,4,4,4,6,7,7,1925,1990,1,2,5,4,1,0.0,1,3,1,2,4,1,3,16,5,0,712,728,5,4,1,5,832,809,0,1641,0,1,1,1,3,1,3,6,6,1,4,2,1925.0,1,2,546,2,5,2,0,0,234,0,0,0,0,4,3,0,8,2006,4,4,178000,0,0,0
316,60,3,71.0,7795,1,2,1,1,1,0,0,14,4,4,4,6,7,5,2004,2005,1,2,11,12,1,0.0,2,3,5,3,3,1,6,425,5,0,291,716,5,4,1,5,716,716,0,1432,1,0,2,1,3,1,2,6,6,1,4,5,2004.0,3,2,432,3,5,2,100,51,0,0,0,0,0,4,3,0,7,2009,4,4,188500,0,0,0
317,60,3,94.0,13005,1,2,1,1,1,2,0,13,4,4,4,6,7,7,1980,1980,1,2,12,13,2,278.0,2,3,2,3,3,1,6,692,5,0,153,845,5,2,1,5,1153,1200,0,2353,1,0,2,1,4,1,3,10,6,1,3,5,1983.0,2,2,484,3,5,2,288,195,0,0,0,0,0,3,3,0,8,2009,4,4,260000,0,0,0
318,60,4,75.0,9000,1,2,0,1,1,0,0,19,4,4,4,6,8,5,2006,2006,1,2,11,12,1,0.0,2,3,5,3,3,3,5,0,5,0,1088,1088,5,4,1,5,1088,871,0,1959,0,0,2,1,3,1,2,8,6,1,4,5,2006.0,2,3,1025,3,5,2,208,46,0,0,0,0,0,4,3,0,12,2007,4,4,270000,0,0,0
319,60,3,90.0,9900,1,2,0,2,1,0,1,24,4,4,4,6,7,5,1993,1993,1,2,8,9,2,256.0,2,3,5,3,3,4,6,987,5,0,360,1347,5,4,1,5,1372,1274,0,2646,1,0,2,1,4,1,2,9,6,1,3,5,1993.0,2,3,656,3,5,2,340,60,144,0,0,0,0,4,3,0,4,2009,4,4,260000,0,0,0
320,80,3,69.0,14115,1,2,0,1,1,0,0,13,4,4,4,4,7,5,1980,1980,1,2,9,10,2,225.0,1,3,2,3,3,3,6,1036,5,0,336,1372,5,2,1,5,1472,0,0,1472,1,0,2,0,3,1,1,6,6,2,3,5,1980.0,1,2,588,3,5,2,233,48,0,0,0,0,0,4,3,0,6,2009,4,4,187500,1,0,0
321,60,3,111.0,16259,1,2,0,1,1,2,0,23,4,4,4,6,9,5,2006,2006,1,2,11,12,4,370.0,1,3,5,4,4,3,5,0,5,0,1249,1249,5,4,1,5,1249,1347,0,2596,0,0,3,1,4,1,2,9,6,0,1,5,2006.0,2,3,840,3,5,2,240,154,0,0,0,0,0,4,3,0,9,2006,8,5,342643,0,0,0
322,60,3,99.0,12099,1,2,1,1,1,0,0,23,4,4,4,6,8,5,2004,2004,1,2,11,12,2,388.0,2,3,5,4,3,3,6,970,5,0,166,1136,5,4,1,5,1136,1332,0,2468,1,0,2,1,4,1,2,10,6,1,4,6,2004.0,3,3,872,3,5,2,184,154,0,0,0,0,0,4,3,0,6,2007,4,4,354000,0,0,0
323,60,3,86.0,10380,1,2,1,1,1,0,0,12,4,4,4,6,7,5,1986,1987,1,2,9,10,2,172.0,2,3,2,2,3,4,3,28,6,1474,0,1502,5,4,1,5,1553,1177,0,2730,1,0,2,1,4,1,2,8,6,1,3,5,1987.0,3,2,576,3,5,2,201,96,0,0,0,0,0,2,3,0,8,2007,4,4,301000,0,0,0
324,20,1,49.0,5820,1,2,0,1,1,0,0,5,4,4,4,5,3,8,1955,2005,1,2,11,12,1,0.0,1,2,2,2,3,1,4,256,5,0,906,1162,5,4,1,5,1163,0,0,1163,1,0,1,0,3,1,1,6,6,0,1,5,1955.0,1,1,220,2,5,2,142,98,0,0,0,0,0,4,3,0,7,2006,4,4,126175,0,0,0
325,80,3,96.0,11275,1,2,0,1,1,2,0,10,7,4,4,4,7,7,1967,2007,2,5,5,4,2,300.0,2,2,2,3,3,1,5,0,5,0,710,710,5,4,1,5,1898,1080,0,2978,0,0,2,1,5,1,2,11,6,1,4,6,1961.0,3,2,564,3,5,2,240,0,0,0,0,0,0,4,3,0,6,2010,4,4,242000,0,0,0
326,45,1,50.0,5000,1,2,0,1,1,0,0,1,1,4,4,0,5,6,1941,1950,1,2,4,5,1,0.0,1,3,2,2,3,3,2,116,5,0,604,720,5,0,0,2,803,0,0,803,0,0,1,0,2,1,1,5,6,0,1,2,1941.0,1,2,360,3,5,2,0,0,244,0,0,0,0,4,3,0,12,2007,4,4,87000,0,0,0
327,120,3,32.0,10846,1,2,1,1,1,4,0,20,4,4,3,5,8,5,1993,1993,1,2,10,11,1,0.0,2,3,5,3,3,4,6,1619,5,0,100,1719,5,4,1,5,1719,0,0,1719,2,0,1,1,1,1,2,6,6,2,4,5,1993.0,3,2,473,3,5,2,122,30,0,0,0,0,0,4,3,0,5,2008,7,4,324000,0,0,0
